last red in the sky,a small girl's moon face rises,over the counter
christmas services,a cellular phone rings out,handel's messiah
Passover darkness -,before the buds burst open;,a child's eyes in death.
Last night of Summer,the bright full moon of last night,hidden by a cloud
Midnight and full moon,my neighbour asks to borrow,the vacum cleaner
yellow walnut leaves,slowly appear on the lawn--,early morning light
after its first flight,the young gerfalcon's talons,tighter on my glove
sultry afternoon,only the mailbox shadow,crosses the dirt road
long journey back home --,a forgotten bale of hay,slowly rots away
Autumn mist obscures,the island in the distance,she cleans her glasses
snow mixes with rain --,my mother keeps calling me,by my brother's name
white cloud of a moon,drifting in the morning sky,these October days
This morning the geese,have taken over the skies,in wild abandon
alabaster moon ~,glowing among bare pine tops,in cool mountain mist
looking at the sky,dandelions with haircuts,"oh, that wind, that wind"
antique store window,looking at dirty street snow,through colored bottles
poetry meeting,I try to read my haiku...,a frog in my throat
Now the shore is grey,and the wind is sharp with rain.,Some day we'll sit close
"We talk in the street,",surrounded by melting snow,and mad rushing crowd
picking up his toys,still in my funeral clothes,the very last time
my dead mother's voice,on the answering machine,. . . again and again . . .
visiting the graves,stronger the October wind,at my grandparents'
On this dark grey day,my thoughts wander to a pair,of  blue irises
A bone scan today,on the way three birds on the,rose scented old path
Tonight on my deck,setting sun the longest time,bring memories back
The Budapest square --,Autumn leaves drift  here and there,on  young protestors
a break in the clouds,spider webs and plastic bags,catch the morning light
Through the  pulp mill smoke,A long red line is showing --,Start of a sunrise
Lights of the ferry --,leave the island of cedars,in deep dark shadow
he's a stop and go,christopher columbus in,your ford explorer
brooklyn bridge walkway,bombsquad found a stray backpack ,homeland traffic jam
Atlanta traffic,easy to see why Sherman,burned this city down
a hundred streets named,peachtree - no wonder sherman,burned this city down
I saw that finger!,yes you in the Intrepid -,we shall meet again
October sunset---,have to go to the kitchen,window to view it
If you really love,America hang that flag ,on a bicycle
Saturday night rain---,a couple eye the lobsters,in a water tank
mid February,the first garden seeds display,at the hardware store
winter in the wind,no cake for this candle lit,in memoriam
there's a pelican,#NAME?,or it is a gull?
Cool and cloudy day,slowly the season changes,mirrored in your eyes
middle of the night,my fingers tick tick ticking,a hot flash haiku
swarm of tiny wings,fades out in the autumn sky-,unfinished journal
harvest moon gleaners,"pale faces, leaden eyes stare",at an empty field
white roadside crosses,where the road's swale meets Nature,memento mori
he turns one last time,flashing his sailor's wry smile,that bright November.
she cries silently,her sobs barely audible,and no one to hear
rivulets of red,running down her pale young face,she clutches a doll
a flagpole stands guard,before a flooded schoolhouse,as a river runs
drawn in by the smell,of fast food and vinegar,this october sun
breakfast still rumbles,but no other guns are heard,Armistice morning.
he winds up his watch,so carefully that morning ,that will end the war
In front of bronze doors,they huddle against the cold,the newly homeless
lonely butterfly,in the quiet morning light,where are you going?
sudden thunderstorm-,open umbrellas flower,in many colors
in the nursing home,she talks about the brother,no one talks about
red poppies growing,between rows of white tombstones,as in remembrance
in an old snapshot,his Irish smile still flashes,"her slight, shy smile, too"
small green waves crashing,against a porcelain rim,morning tea tempest
My tea gets colder,and the madeleine just sinks,memory betrays
lullaby of rain,another pinch of saffron,in the pumpkin soup
the moon is broken,Battersea Power Station,from a train window
"old, brittle, dry bones",found inside a uniform ,a past imperfect
Gazing at the moon,on a still summer's evening,feast for mosquitoes
"Fog on the mountain,","Rain tapping the window pane,","Cup of tea, steaming."
for seconds between,flood rains: the sunny colours,of market mangoes
like scattering tacks:,the forecast record rainfall,on the bus's roof
tea in china cups,the wet afternoon perfumed,with tangerine peels
Friday the 13th --,a bit of volcanic ash,in the winter fog
A Rainy cool day,promise of Kona coffee,from Honolulu
summer butterfly,a girl wearing a white dress,in the morning breeze
Memorial Day,old enough to remember,a time between wars
looking for something,in the bottom of a cup,the low autumn sun
the line of poplars,blackens a mackerel sky...,February blues
therapy session:,winter rain on the window,deepens the silence
turning seventy,i walk outside to see it,the almost full moon
Orion rises,dragging Autumn behind him,Late August morning
Patient old donkey,waiting for her morning hay,Gray August sunrise
October daisy,bedraggled but still upright,The cold morning rain
Herding a young deer,through the gate to its mother,Steady autumn rain
cut into his arm,a line for each day between,Christmas and New Year
crackling in the air,on a frigid afternoon,tea and ginger snaps
A young deer peering,at me around the hedgerow,"Then, the silent leap"
a wide open bay ,as far as the eye can see ,the herring gull's call
Withering daisies,Brittle petals littering,the dusty pasture
Flank to the sunrise,Old donkey taking winter,one day at a time
scattered in the ditch ,like tiny scraps of blue sky,bits of plastic bag
profound blue of night ,the resin and salt of pines,so far from the sea
kissing the widow,along her silver neck chain,the glint of his ring
nude in the sauna,the young woman pours water,on stony silence
thunderstorm downpour,thrashing against the window,her sweat on my lips
When my time is done,remember I saw swallows,taking their first flight
orgies are best left,to the hobbits elves and dwarfs,imaginary
kiss me back to home,if my attempt to escape,makes me a forlorn
green economics,a man dressed in green rides the,bear financial bull
rough stone smooth stone - both,born from the same mountain - but,one has suffered much
ere swallows dare come,march's ranging breezes stir,dancing daffodils
read the lunation,what it says about winter,then perfect the step
the crayoned rainbow,got swallowed by her sea bed,sinking deep inside
twelfth day of christmas,among twelve drummers drumming,was one little boy
he peeks through windows,for socks of dreaming children,to give them surprise
the church bells resound,dulcet choirs kill drowsiness,lights dispel darkness
cakes chocos candies,truffles tarts cookies dumplings,desserts nuts and fruits
turkey chicken duck,sausages ham bacon pie,sizzle on salvers
invite friends and foes,be a visitor yourself,spread love and be loved
rockets of blind faith,sputter and crackle dead dreams,like time bleeding stars
through soft painted moans,a man watches his life drown,in waves of glass bones
through bright haunted smiles,a woman hums white magic,sings pain into pearls
reflections of self,in multiple dimensions,whirl across the sky
throbbing blue rhythms,a torn heart wrestles naked,with wounds from the past
black holes coalesce,into mounds of burned feathers,and crucified trust
between death and hell,a bridge shining silver wings,offers his soul hope
that good gardener,who wept thorns plowing his fields,harvests grace with joy
here is the timeless,mystery that pays no heed,to death's greedy pride
songs of hearts divine,mortal angelic holy,billow starlit wings
here are lips of flame,eager to be extinguished,by love's liquid sigh
stars wishing upon,the potential of humans,shine faithfully on
collect red bug bites,show you a peacock before,his tail gets ratty
and fills the lost ring's,hollow with life's most lasting,part cries for new love
if not for the cat,and the scarcity of cheese,i could be content
do we seem rootless,holding fast to the anchor,of the saddest things
northern follows jig,body flashes with strike dive,broken line floats up
i burned with love in,empty rooms i sternly turned,knives within myself
but nothing could kill,a faith like a guillotine,as heavy as light
into the heavens,flew a breathless legion of,impossible crows
making jazz swing in,seventeen syllables ain't,no square poet's job
'tis all gold and snow,save where scarlet waves are hurled,down yon gulf below
of the days of eld,preserve the freedom only,not the deeds of blood
my life is little,only a cup of water,but pure and limpid
the underground roads,are as the dead prefer them,always tortuous
softly wordlessly,shadow and light coalesce,emergent being
silence of the dawn,sailing in sun speckled sea,gliding into port
profound stillness clouds,and trees collect on the pond,which way up which down
trees reach to the clouds,golden leaves on branches fall,natures cathedral
reaching for the stars,copper gold gifts soon will fall,then the tree can sleep
snow lands on hemlocks,gentle as falling feathers,turning needles white
tango with shadows,each on its own axis spins,dialogue of light
gently from the sky,landing like a sacrament,level and divine
shadow and pollen,atop mauve crocus petals,bespeak winter's end
light worships surface,gently unlocking colour,and stepping inside
rain in the morning,soft beginning of the day,inviting stillness
dying of the leaves,forest of changing colours,silence of the trees
yellow butterflies,look like flowers flying through,the warm summer air
at sunset we sat,you and me quietly there,breathing in and out
between teeth and tongue,red planet bursting luscious,supernova sweet
still part of the whole,or already forgotten,without a meaning
silent day breaking,saffron yolk of light running,pushing the shadows
shedding energy,small birdquake oscillating,resonating light
once more as i wait,for you night and icy wind,melt into cold rain
my thoughts are resting,on colourful blossoms yet,free like butterflies
how i do love thee,oh virtuous untamed lawn,sweet and unfettered
perhaps this silent,wanderer fashions flowers,dreamy butterfly
deep in the dark woods,murk in my mind vanished by,this light from above
all of the buses,safely hidden till the fall,yellow chariots
when time is over,will anybody recall,that there once was more
it has come to pass,all that is mortal is lost,sometime anywhere
to find the beauty,even if it's dark and grey,that lightens my day
there must be some good,hidden amidst all the bad,know i will find it
without just one nest,a bird can call the world home,life is your career
summer suspended,warm buzzing tempest laid flat,reliquery sun
my mother told me,that a yellow sunset means,hard wind is coming
long shadows at noon,means winter and sun cold day,of peaceful walking
clouds hang on bare trees,but the snow on the mountains,is a white blessing
can you see the ray,if you can see it you will,soon find your true love
sourwood racemes,flowers just a memory,autumnal pendants
aperture golden,bundle of rays traversing,instrument of light
moon is a whole note,cloudy stanzas span blue sky,staccato geese soar
doves in the morning,love flowering on a branch,beautiful bouquet
a turn done in air,the sprightly red dancer bounds,a dance without plot
spinning wheel of hearts,love at the ends of petals,unfolding brightly
horizon slanting,the grey sea of winter is,paved in iced glass tiles
